g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637331935,8,1200,973,21,1,local@150,331,357.7200012207031,2,local@150,331,405.7200012207031,3,final_v7b@150,693,1151.1600341796875,4,final_v7b@150,693,1199.1600341796875
1637332035,6,900,429,21,1,local@150,578,1652.47998046875,2,local@150,578,1616.47998046875,3,final_v7b@150,194,571.0399780273438,4,final_v7b@150,9999,1620
1637332131,9,1000,574,21,1,local@150,308,602.3519897460938,2,local@150,9999,702,3,final_v7b@150,308,692.3519897460938,4,final_v7b@150,308,688.3519897460938
