g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637082229,9,1000,36,21,1,final_v1@600,1111,2253,2,final_v2@600,1112,2337,3,final_v3@600,1112,2437,4,local@600,1112,2309
1637082741,4,1000,529,21,1,final_v1@600,1111,2486,2,final_v2@600,1112,2410,3,final_v3@600,1112,2498,4,local@600,1112,2482
1637083274,9,1000,429,21,1,final_v1@600,1111,1927,2,final_v2@600,1112,2071,3,final_v3@600,1112,2083,4,local@600,1112,2043
1637083768,3,1000,422,19,1,final_v1@600,1093,2868,2,final_v2@600,1093,2156,3,final_v3@600,1093,2170,4,local@600,758,1791.1519775390625
1637084277,6,900,835,21,1,final_v1@600,1011,2354,2,final_v2@600,1012,2540,3,final_v3@600,1012,2322,4,local@600,1012,2360
