g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636914328,3,1000,973,19,1,final_v2@600,1093,3096,2,final_v1@600,1093,3268,3,final_v1@600,1093,2896,4,final_v1@600,1093,2932
1636914860,4,1000,429,21,1,final_v2@600,1112,2961,2,final_v1@600,1112,2969,3,final_v1@600,1112,3023,4,final_v1@600,1112,2963
1636915464,8,1200,574,21,1,final_v2@600,1312,3078,2,final_v1@600,1312,3122,3,final_v1@600,1312,3068,4,final_v1@600,1312,3068
1636916060,8,1200,79,21,1,final_v2@600,1312,3318,2,final_v1@600,1312,3366,3,final_v1@600,1312,3300,4,final_v1@600,1312,3312
1636916661,6,900,737,21,1,final_v2@600,1012,2810,2,final_v1@600,1012,2924,3,final_v1@600,1012,3222,4,final_v1@600,1012,3120
1636917152,9,1000,326,21,1,final_v2@600,1112,2642,2,final_v1@600,1112,2702,3,final_v1@600,1112,2738,4,final_v1@600,1112,2814
1636914325,4,1000,326,21,1,final_v2@600,1112,3276,2,final_v1@600,1112,3052,3,final_v1@600,1112,3106,4,final_v1@600,1112,3046
1636914914,10,800,427,15,1,final_v2@600,859,2783,2,final_v1@600,859,2731,3,final_v1@600,859,2733,4,final_v1@600,859,2697
1636915318,5,850,116,17,1,final_v2@600,924,2646,2,final_v1@600,924,2690,3,final_v1@600,924,2666,4,final_v1@600,924,2654
1636915748,10,800,142,15,1,final_v2@600,859,2677,2,final_v1@600,859,2701,3,final_v1@600,859,2793,4,final_v1@600,859,2713
1636916169,8,1200,886,21,1,final_v2@600,1312,3684,2,final_v1@600,1312,3680,3,final_v1@600,1312,3658,4,final_v1@600,1312,3658
1636914333,7,800,8,21,1,final_v2@600,912,2428,2,final_v1@600,912,2810,3,final_v1@600,912,2822,4,final_v1@600,912,3940
1636914809,8,1200,923,21,1,final_v2@600,1312,3573,2,final_v1@600,1312,3701,3,final_v1@600,1312,3647,4,final_v1@600,1312,3647
1636915397,7,800,418,21,1,final_v2@600,912,3074,2,final_v1@600,912,2400,3,final_v1@600,912,2512,4,final_v1@600,912,2706
1636915898,3,1000,512,19,1,final_v2@600,1093,3233,2,final_v1@600,1093,3145,3,final_v1@600,1093,3133,4,final_v1@600,1093,3461
1636916443,7,800,655,21,1,final_v2@600,9999,2268,2,final_v1@600,911,2474,3,final_v1@600,911,2486,4,final_v1@600,911,2660
1636916971,2,900,36,9,1,final_v2@600,922,3183,2,final_v1@600,922,3119,3,final_v1@600,922,3161,4,final_v1@600,922,3113
1636914326,9,1000,36,21,1,final_v2@600,1112,2958,2,final_v1@600,1112,2982,3,final_v1@600,1112,3054,4,final_v1@600,1112,2958
1636914862,4,1000,529,21,1,final_v2@600,1112,3492,2,final_v1@600,1112,3012,3,final_v1@600,1112,3066,4,final_v1@600,1112,3006
1636915437,9,1000,429,21,1,final_v2@600,1112,2814,2,final_v1@600,1112,2838,3,final_v1@600,1112,2910,4,final_v1@600,1112,2814
1636915977,3,1000,422,19,1,final_v2@600,1093,3186,2,final_v1@600,1093,3186,3,final_v1@600,1093,2952,4,final_v1@600,1093,2988
1636916511,6,900,835,21,1,final_v2@600,1012,2822,2,final_v1@600,1012,2610,3,final_v1@600,1012,3324,4,final_v1@600,1012,3176
1636914329,7,800,517,21,1,final_v2@600,912,2162,2,final_v1@600,912,2682,3,final_v1@600,912,2694,4,final_v1@600,912,3406
1636914808,10,800,168,15,1,final_v2@600,859,2852,2,final_v1@600,859,2842,3,final_v1@600,859,2948,4,final_v1@600,859,2854
1636915220,10,800,583,15,1,final_v2@600,859,2749,2,final_v1@600,859,2691,3,final_v1@600,859,2765,4,final_v1@600,859,2703
1636915630,3,1000,89,19,1,final_v2@600,1093,3231,2,final_v1@600,1093,3255,3,final_v1@600,1093,3111,4,final_v1@600,1093,3147
1636916165,6,900,567,21,1,final_v2@600,1012,2843,2,final_v1@600,1012,2781,3,final_v1@600,1012,2991,4,final_v1@600,1012,3421
1636916675,9,1000,926,21,1,final_v2@600,1112,3029,2,final_v1@600,1112,3025,3,final_v1@600,1112,3109,4,final_v1@600,1112,3005
1636914326,8,1200,926,21,1,final_v2@600,1312,3477,2,final_v1@600,1312,3557,3,final_v1@600,1312,3503,4,final_v1@600,1312,3503
1636914922,9,1000,856,21,1,final_v2@600,1112,2694,2,final_v1@600,1112,2610,3,final_v1@600,1112,2652,4,final_v1@600,1112,2628
1636915434,4,1000,474,21,1,final_v2@600,1112,3558,2,final_v1@600,1112,3102,3,final_v1@600,1112,3156,4,final_v1@600,1112,3096
1636916012,10,800,838,15,1,final_v2@600,859,2713,2,final_v1@600,859,2699,3,final_v1@600,859,2693,4,final_v1@600,859,2711
1636916421,8,1200,793,21,1,final_v2@600,1312,3191,2,final_v1@600,1312,3027,3,final_v1@600,1312,3039,4,final_v1@600,1312,3043
1636914322,7,800,829,21,1,final_v2@600,912,2697,2,final_v1@600,912,2393,3,final_v1@600,912,2417,4,final_v1@600,912,2405
1636914900,7,800,919,21,1,final_v2@600,912,2490,2,final_v1@600,912,2502,3,final_v1@600,912,2514,4,final_v1@600,912,2874
1636915405,5,850,457,17,1,final_v2@600,924,2736,2,final_v1@600,924,2748,3,final_v1@600,924,2724,4,final_v1@600,924,2736
1636915833,9,1000,105,21,1,final_v2@600,1112,2676,2,final_v1@600,1112,2754,3,final_v1@600,1112,2754,4,final_v1@600,1112,2724
1636916356,4,1000,700,21,1,final_v2@600,1112,3351,2,final_v1@600,1112,3283,3,final_v1@600,1112,3337,4,final_v1@600,1112,3277
1636916936,6,900,841,21,1,final_v2@600,1012,3524,2,final_v1@600,1012,3288,3,final_v1@600,1012,3384,4,final_v1@600,1012,3568
