g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637255127,8,1200,926,21,1,final_v4@600,873,1940.760009765625,2,final_v5@600,1312,2600,3,final_v6@600,1312,2510,4,local@600,1312,2342
1637255707,9,1000,856,21,1,final_v4@600,541,1013.9039916992188,2,final_v5@600,1112,2080,3,final_v6@600,1112,1984,4,local@600,1112,1972
1637256214,4,1000,474,21,1,final_v4@600,1112,2251,2,final_v5@600,443,1398.7919921875,3,final_v6@600,421,1323.6240234375,4,local@600,1112,2411
1637256732,10,800,838,15,1,final_v4@600,563,1673.3399658203125,2,final_v5@600,859,2068,3,final_v6@600,859,2038,4,local@600,859,2038
1637257128,8,1200,793,21,1,final_v4@600,503,816.3599853515625,2,final_v5@600,1311,2248,3,final_v6@600,1312,2158,4,local@600,1312,2142
