g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637082209,10,800,934,15,1,final_v1@600,858,1925,2,final_v2@600,857,1941,3,final_v3@600,859,1953,4,local@600,859,1861
1637082597,7,800,115,21,1,final_v1@600,377,1417.8599853515625,2,final_v2@600,377,1381.8599853515625,3,final_v3@600,912,2670,4,local@600,912,3306
1637083074,9,1000,676,21,1,final_v1@600,1111,1894,2,final_v2@600,1112,1816,3,final_v3@600,1112,2032,4,local@600,1112,2310
1637083584,4,1000,706,21,1,final_v1@600,1112,2752,2,final_v2@600,1111,2864,3,final_v3@600,468,1459.3919677734375,4,local@600,1112,2560
1637084141,5,850,158,17,1,final_v1@600,924,2422,2,final_v2@600,924,2606,3,final_v3@600,924,2574,4,local@600,924,2434
1637084560,8,1200,70,21,1,final_v1@600,1311,2502,2,final_v2@600,1312,2202,3,final_v3@600,1312,2304,4,local@600,1312,2256
