g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637139042,3,1000,973,19,1,final_v2@600,1093,2930,2,final_v3@600,1093,2636,3,final_v4@600,1093,2688,4,local@600,1093,2762
1637139570,4,1000,429,21,1,final_v2@600,1112,2338,2,final_v3@600,1112,2314,3,final_v4@600,1112,2244,4,local@600,1112,2408
1637140120,8,1200,574,21,1,final_v2@600,1312,2508,2,final_v3@600,1312,2484,3,final_v4@600,1312,2562,4,local@600,1312,2550
1637140679,8,1200,79,21,1,final_v2@600,1312,2280,2,final_v3@600,1312,2652,3,final_v4@600,1312,2538,4,local@600,1312,2634
1637141245,6,900,737,21,1,final_v2@600,343,1696.8800048828125,2,final_v3@600,462,1985.9200439453125,3,final_v4@600,134,393.44000244140625,4,local@600,9999,2122
1637141508,9,1000,326,21,1,final_v2@600,1111,2038,2,final_v3@600,1112,2152,3,final_v4@600,1112,2188,4,local@600,1111,2346
