g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637240537,3,1000,973,19,1,final_v5@600,1093,2445,2,final_v5@600,1093,2337,3,final_v5@600,1093,2319,4,local@600,1093,2535
1637241035,4,1000,429,21,1,final_v5@600,1112,2787,2,final_v5@600,1112,2799,3,final_v5@600,1112,2887,4,local@600,1112,2915
1637241586,8,1200,574,21,1,final_v5@600,1312,3055,2,final_v5@600,1312,3031,3,final_v5@600,1312,3031,4,local@600,1312,3075
1637242173,8,1200,79,21,1,final_v5@600,1312,3140,2,final_v5@600,1312,3128,3,final_v5@600,1312,3194,4,local@600,1312,3066
1637242760,6,900,737,21,1,final_v5@600,1011,2992,2,final_v5@600,9999,2962,3,final_v5@600,1011,2984,4,local@600,519,1465.0400390625
1637243239,9,1000,326,21,1,final_v5@600,1112,2650,2,final_v5@600,1112,2686,3,final_v5@600,1112,2776,4,local@600,1112,2976
1637240535,4,1000,326,21,1,final_v5@600,1112,2792,2,final_v5@600,1112,2926,3,final_v5@600,1112,2810,4,local@600,1112,2944
1637241071,10,800,427,15,1,final_v5@600,859,2230,2,final_v5@600,859,2154,3,final_v5@600,859,2130,4,local@600,859,2378
1637241460,5,850,116,17,1,final_v5@600,924,1979,2,final_v5@600,924,1953,3,final_v5@600,924,1953,4,local@600,924,2115
1637241870,10,800,142,15,1,final_v5@600,859,2494,2,final_v5@600,859,2432,3,final_v5@600,859,2420,4,local@600,859,2530
1637242276,8,1200,886,21,1,final_v5@600,1312,3412,2,final_v5@600,1312,3400,3,final_v5@600,1312,3466,4,local@600,1312,3354
1637240552,7,800,8,21,1,final_v5@600,910,2525,2,final_v5@600,912,2577,3,final_v5@600,912,2727,4,local@600,911,3287
1637241025,8,1200,923,21,1,final_v5@600,1312,3460,2,final_v5@600,1312,3448,3,final_v5@600,1312,3514,4,local@600,1312,3450
1637241606,7,800,418,21,1,final_v5@600,912,2633,2,final_v5@600,912,2597,3,final_v5@600,912,2735,4,local@600,912,3267
1637242104,3,1000,512,19,1,final_v5@600,1093,2880,2,final_v5@600,1093,2868,3,final_v5@600,1093,2892,4,local@600,1093,3600
1637242646,7,800,655,21,1,final_v5@600,912,2963,2,final_v5@600,912,2843,3,final_v5@600,912,2835,4,local@600,912,2895
1637243106,2,900,36,9,1,final_v5@600,922,3120,2,final_v5@600,922,3120,3,final_v5@600,922,3096,4,local@600,922,3208
1637240517,9,1000,36,21,1,final_v5@600,1112,2746,2,final_v5@600,1112,2818,3,final_v5@600,1112,2818,4,local@600,1112,2886
1637241027,4,1000,529,21,1,final_v5@600,1112,3143,2,final_v5@600,1112,3165,3,final_v5@600,1112,3221,4,local@600,1112,3239
1637241589,9,1000,429,21,1,final_v5@600,1112,2460,2,final_v5@600,1112,2454,3,final_v5@600,1112,2568,4,local@600,1112,2550
1637242104,3,1000,422,19,1,final_v5@600,1093,3057,2,final_v5@600,1093,2915,3,final_v5@600,1093,2903,4,local@600,1093,3389
1637242622,6,900,835,21,1,final_v5@600,1012,2740,2,final_v5@600,1012,3040,3,final_v5@600,1012,2632,4,local@600,1012,2436
