g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637475907,10,800,105,15,1,local@200,534,870.1199951171875,2,local@200,534,870.1199951171875,3,final_v8@200,9999,1464,4,final_v8@200,651,1281.1800537109375
1637476048,10,800,700,15,1,local@200,858,1595,2,local@200,858,1595,3,final_v8@200,858,1641,4,final_v8@200,858,1589
1637476235,8,1200,841,21,1,local@200,9999,1338,2,local@200,794,677.280029296875,3,final_v8@200,776,1181.1199951171875,4,final_v8@200,794,551.280029296875
