g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637330661,3,1000,517,19,1,local@150,281,910.4639892578125,2,local@150,9999,1180,3,final_v7b@150,216,671.10400390625,4,final_v7b@150,216,689.10400390625
1637330709,6,900,168,21,1,local@150,9999,1000,2,local@150,173,747.6799926757812,3,final_v7b@150,173,637.6799926757812,4,final_v7b@150,173,565.6799926757812
1637330740,9,1000,583,21,1,local@150,9999,1176,2,local@150,268,590.5919799804688,3,final_v7b@150,601,914.5440063476562,4,final_v7b@150,601,914.5440063476562
