g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637153194,5,850,70,17,1,final_v2@600,924,2733,2,final_v3@600,924,2659,3,final_v4@600,924,2675,4,local@600,924,2621
1637153626,6,900,278,21,1,final_v2@600,838,2508.080078125,2,final_v3@600,1012,2658,3,final_v4@600,1012,2448,4,local@600,1012,2240
1637154124,7,800,721,21,1,final_v2@600,912,2939,2,final_v3@600,912,2537,3,final_v4@600,416,1867.8800048828125,4,local@600,343,1352.739990234375
1637154576,7,800,208,21,1,final_v2@600,912,3014,2,final_v3@600,912,2602,3,final_v4@600,912,2734,4,local@600,636,2376.47998046875
1637155029,9,1000,231,21,1,final_v2@600,1112,2392,2,final_v3@600,1112,2314,3,final_v4@600,1112,2382,4,local@600,1112,2336
