g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637149109,7,800,8,21,1,final_v2@600,912,2466,2,final_v3@600,912,2906,3,final_v4@600,434,1650.1199951171875,4,local@600,434,1614.1199951171875
1637149570,8,1200,923,21,1,final_v2@600,1309,2364,2,final_v3@600,1312,2496,3,final_v4@600,1312,2310,4,local@600,1312,2382
1637150131,7,800,418,21,1,final_v2@600,472,1397.9599609375,2,final_v3@600,912,2743,3,final_v4@600,912,2809,4,local@600,912,2631
1637150622,3,1000,512,19,1,final_v2@600,1093,2290,2,final_v3@600,1093,2266,3,final_v4@600,1093,2344,4,local@600,1093,2620
1637151140,7,800,655,21,1,final_v2@600,910,2032,2,final_v3@600,912,3174,3,final_v4@600,319,1665.4200439453125,4,local@600,912,2750
1637151601,2,900,36,9,1,final_v2@600,922,2520,2,final_v3@600,922,2632,3,final_v4@600,922,2654,4,local@600,922,2594
