g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637333047,5,850,326,17,1,local@150,922,1368,2,local@150,921,1224,3,final_v7b@150,922,1570,4,final_v7b@150,917,1534
1637333200,10,800,427,15,1,local@150,557,1301.260009765625,2,local@150,557,1295.260009765625,3,final_v7b@150,478,857.0399780273438,4,final_v7b@150,557,713.260009765625
1637333293,8,1200,116,21,1,local@150,750,974,2,local@150,758,908.9600219726562,3,final_v7b@150,758,1062.9599609375,4,final_v7b@150,531,821.719970703125
