g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637250751,3,1000,973,19,1,final_v4@600,962,2108.528076171875,2,final_v5@600,1093,2380,3,final_v6@600,1093,2550,4,local@600,1093,2496
1637251254,4,1000,429,21,1,final_v4@600,819,1969.93603515625,2,final_v5@600,1111,2520,3,final_v6@600,1111,2302,4,local@600,9999,2130
1637251804,8,1200,574,21,1,final_v4@600,1311,2652,2,final_v5@600,1312,2664,3,final_v6@600,1312,2766,4,local@600,1312,2646
1637252380,8,1200,79,21,1,final_v4@600,641,1024.9200439453125,2,final_v5@600,1312,2168,3,final_v6@600,1311,1894,4,local@600,1312,2278
1637252945,6,900,737,21,1,final_v4@600,528,1400.47998046875,2,final_v5@600,1012,2320,3,final_v6@600,1012,2444,4,local@600,1010,2696
1637253425,9,1000,326,21,1,final_v4@600,764,1154.0159912109375,2,final_v5@600,1112,1934,3,final_v6@600,1112,2296,4,local@600,1112,2230
1637250741,4,1000,326,21,1,final_v4@600,747,2059.56787109375,2,final_v5@600,1112,2180,3,final_v6@600,1112,2320,4,local@600,1112,2264
1637251272,10,800,427,15,1,final_v4@600,858,2028,2,final_v5@600,859,2022,3,final_v6@600,859,1956,4,local@600,859,1962
1637251666,5,850,116,17,1,final_v4@600,344,558.2776489257812,2,final_v5@600,924,1690,3,final_v6@600,517,843.5858764648438,4,local@600,924,1786
1637252074,10,800,142,15,1,final_v4@600,598,1511.6400146484375,2,final_v5@600,857,2002,3,final_v6@600,857,2086,4,local@600,857,2176
1637252499,8,1200,886,21,1,final_v4@600,420,794.4000244140625,2,final_v5@600,1312,2252,3,final_v6@600,1312,2114,4,local@600,1312,2186
1637250714,7,800,8,21,1,final_v4@600,912,2780,2,final_v5@600,382,1966.760009765625,3,final_v6@600,912,2492,4,local@600,912,2474
1637251186,8,1200,923,21,1,final_v4@600,1149,2479.8798828125,2,final_v5@600,9999,2730,3,final_v6@600,1310,2940,4,local@600,1311,2888
1637251752,7,800,418,21,1,final_v4@600,912,2030,2,final_v5@600,912,3070,3,final_v6@600,912,2462,4,local@600,912,2722
1637252229,3,1000,512,19,1,final_v4@600,362,950.1279907226562,2,final_v5@600,1093,2010,3,final_v6@600,1093,1936,4,local@600,1093,2172
1637252759,7,800,655,21,1,final_v4@600,663,2067.340087890625,2,final_v5@600,9999,3292,3,final_v6@600,235,1232.300048828125,4,local@600,306,1529.0799560546875
1637253131,2,900,36,9,1,final_v4@600,582,1715.1199951171875,2,final_v5@600,921,2534,3,final_v6@600,921,2300,4,local@600,9999,2396
1637250859,9,1000,36,21,1,final_v4@600,1112,2166,2,final_v5@600,1112,2170,3,final_v6@600,1112,2410,4,local@600,1112,2338
1637251368,4,1000,529,21,1,final_v4@600,721,1865.823974609375,2,final_v5@600,1112,2478,3,final_v6@600,1112,2360,4,local@600,1112,2380
1637251921,9,1000,429,21,1,final_v4@600,781,1546.4639892578125,2,final_v5@600,9999,2302,3,final_v6@600,1111,2086,4,local@600,1111,2134
