g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637089241,1,600,810,11,1,final_v3@600,633,1476,2,final_v3@600,633,1476,3,final_v3@600,633,1542,4,local@600,633,1470
1637089518,9,1000,609,21,1,final_v3@600,350,797.4000244140625,2,final_v3@600,377,711.2880249023438,3,final_v3@600,1112,1635,4,local@600,1112,1965
1637090002,2,900,52,9,1,final_v3@600,324,947.8400268554688,2,final_v3@600,324,947.8400268554688,3,final_v3@600,9999,1142,4,local@600,324,1101.8399658203125
1637090154,9,1000,94,21,1,final_v3@600,1112,3003,2,final_v3@600,1112,2953,3,final_v3@600,1112,2965,4,local@600,1112,2935
1637090686,2,900,393,9,1,final_v3@600,922,3309,2,final_v3@600,922,3309,3,final_v3@600,922,3345,4,local@600,922,3237
1637091092,5,850,969,17,1,final_v3@600,924,2344,2,final_v3@600,924,2332,3,final_v3@600,924,2404,4,local@600,924,2412
