g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637149233,2,900,531,9,1,final_v2@600,922,2613,2,final_v3@600,922,2613,3,final_v4@600,922,2565,4,local@600,922,2601
1637149641,4,1000,426,21,1,final_v2@600,1111,2413,2,final_v3@600,338,1329.6719970703125,3,final_v4@600,338,1249.6719970703125,4,local@600,9999,2237
1637150182,5,850,641,17,1,final_v2@600,922,2065,2,final_v3@600,9999,2019,3,final_v4@600,922,2131,4,local@600,923,2089
1637150598,5,850,773,17,1,final_v2@600,924,2050,2,final_v3@600,924,1964,3,final_v4@600,924,1820,4,local@600,923,2050
1637151024,9,1000,933,21,1,final_v2@600,494,953.135986328125,2,final_v3@600,1112,2362,3,final_v4@600,1112,2320,4,local@600,1112,2224
1637151532,5,850,673,17,1,final_v2@600,394,919.7482299804688,2,final_v3@600,9999,1519,3,final_v4@600,486,1001.3341064453125,4,local@600,523,1109.602294921875
