g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636958015,9,1000,840,21,1,final_v2b@600,1112,2017,2,final_v2@600,1112,1599,3,final_v1@600,1112,1871,4,semifinal@600,1112,1261
1636958522,4,1000,311,21,1,final_v2b@600,1112,2180,2,final_v2@600,1112,1852,3,final_v1@600,1112,2260,4,semifinal@600,1112,1448
1636959076,2,900,647,9,1,final_v2b@600,921,1970,2,final_v2@600,922,1966,3,final_v1@600,922,1622,4,semifinal@600,922,1794
1636959499,8,1200,172,21,1,final_v2b@600,1312,2230,2,final_v2@600,1312,2002,3,final_v1@600,1311,1476,4,semifinal@600,1312,1140
1636960099,5,850,539,17,1,final_v2b@600,924,1713,2,final_v2@600,923,1391,3,final_v1@600,924,1579,4,semifinal@600,924,1237
1636960532,4,1000,839,21,1,final_v2b@600,1111,2133,2,final_v2@600,1112,1793,3,final_v1@600,1112,2241,4,semifinal@600,1111,2269
