g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637082286,7,800,517,21,1,final_v1@600,909,1860,2,final_v2@600,910,2682,3,final_v3@600,911,2670,4,local@600,911,2288
1637082740,10,800,168,15,1,final_v1@600,858,1725,2,final_v2@600,859,2017,3,final_v3@600,859,1657,4,local@600,558,1201.43994140625
1637083134,10,800,583,15,1,final_v1@600,859,2047,2,final_v2@600,859,1797,3,final_v3@600,859,1869,4,local@600,859,1919
1637083529,3,1000,89,19,1,final_v1@600,1093,2556,2,final_v2@600,1093,2180,3,final_v3@600,1093,2084,4,local@600,1093,2180
1637084028,6,900,567,21,1,final_v1@600,1011,2513,2,final_v2@600,1011,2689,3,final_v3@600,1011,2245,4,local@600,1011,2537
1637084521,9,1000,926,21,1,final_v1@600,947,1983.3680419921875,2,final_v2@600,1110,2021,3,final_v3@600,1112,2101,4,local@600,1112,1923
