g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637097442,3,1000,973,19,1,final_v3@600,1093,2737,2,final_v3@600,1093,2581,3,final_v3@600,1093,2375,4,local@600,1093,2779
1637097963,4,1000,429,21,1,final_v3@600,1112,2946,2,final_v3@600,1112,2640,3,final_v3@600,1112,2628,4,local@600,1112,3094
1637098522,8,1200,574,21,1,final_v3@600,1312,3007,2,final_v3@600,1312,3037,3,final_v3@600,1312,3049,4,local@600,1312,2979
1637099107,8,1200,79,21,1,final_v3@600,1312,3357,2,final_v3@600,1312,3339,3,final_v3@600,1312,3397,4,local@600,1312,3395
1637099703,6,900,737,21,1,final_v3@600,1010,2629,2,final_v3@600,9999,2985,3,final_v3@600,1011,3021,4,local@600,464,1711.239990234375
1637100179,9,1000,326,21,1,final_v3@600,1112,2553,2,final_v3@600,1112,2559,3,final_v3@600,1112,2571,4,local@600,1112,2613
1637097410,4,1000,326,21,1,final_v3@600,1112,3271,2,final_v3@600,1112,2973,3,final_v3@600,1112,2973,4,local@600,1112,3491
1637097975,10,800,427,15,1,final_v3@600,859,2814,2,final_v3@600,859,2528,3,final_v3@600,859,2600,4,local@600,859,2606
1637098379,5,850,116,17,1,final_v3@600,924,2406,2,final_v3@600,924,2442,3,final_v3@600,924,2478,4,local@600,924,2490
1637098807,10,800,142,15,1,final_v3@600,859,2735,2,final_v3@600,859,2635,3,final_v3@600,859,2707,4,local@600,859,2807
1637099224,8,1200,886,21,1,final_v3@600,372,764.6400146484375,2,final_v3@600,372,752.6400146484375,3,final_v3@600,372,824.6400146484375,4,local@600,9999,1512
1637097417,7,800,8,21,1,final_v3@600,912,2390,2,final_v3@600,912,2638,3,final_v3@600,912,2600,4,local@600,912,2756
1637097866,8,1200,923,21,1,final_v3@600,1312,3038,2,final_v3@600,1312,3074,3,final_v3@600,1312,3314,4,local@600,1312,3198
1637098441,7,800,418,21,1,final_v3@600,912,2395,2,final_v3@600,642,2276.56005859375,3,final_v3@600,642,2504.56005859375,4,local@600,912,3139
1637098919,3,1000,512,19,1,final_v3@600,1093,2736,2,final_v3@600,1093,2736,3,final_v3@600,1093,2812,4,local@600,1093,3356
1637099450,7,800,655,21,1,final_v3@600,912,1828,2,final_v3@600,912,2534,3,final_v3@600,911,2696,4,local@600,912,2874
1637099925,2,900,36,9,1,final_v3@600,922,3205,2,final_v3@600,922,3205,3,final_v3@600,922,3259,4,local@600,922,3387
1637097420,9,1000,36,21,1,final_v3@600,1112,2496,2,final_v3@600,1112,2570,3,final_v3@600,1112,2550,4,local@600,1112,2544
