g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636951672,8,1200,926,21,1,final_v2@600,1312,3477,2,final_v1@600,1312,3557,3,final_v1@600,1312,3503,4,final_v1@600,1312,3503
1636952269,9,1000,856,21,1,final_v2@600,1112,2648,2,final_v1@600,1112,2652,3,final_v1@600,1112,2678,4,final_v1@600,1112,2654
1636952783,4,1000,474,21,1,final_v2@600,1112,3158,2,final_v1@600,1112,2960,3,final_v1@600,1112,2940,4,final_v1@600,1112,3170
1636953340,10,800,838,15,1,final_v2@600,859,2674,2,final_v1@600,859,2632,3,final_v1@600,859,2646,4,final_v1@600,859,2644
1636953746,8,1200,793,21,1,final_v2@600,1312,2911,2,final_v1@600,1312,3015,3,final_v1@600,1312,3097,4,final_v1@600,1312,3061
