g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637049820,9,1000,840,21,1,final_v3@600,1112,2971,2,final_v3@600,1112,2995,3,final_v3@600,1112,3009,4,local@600,1112,3001
1637050336,4,1000,311,21,1,final_v3@600,1112,3016,2,final_v3@600,1112,2342,3,final_v3@600,1112,2342,4,local@600,1112,2608
1637050859,2,900,647,9,1,final_v3@600,922,3361,2,final_v3@600,922,3399,3,final_v3@600,922,3331,4,local@600,922,3325
1637051262,8,1200,172,21,1,final_v3@600,1312,3159,2,final_v3@600,1312,3147,3,final_v3@600,1312,3219,4,local@600,1312,3207
1637051856,5,850,539,17,1,final_v3@600,924,2682,2,final_v3@600,924,2670,3,final_v3@600,924,2706,4,local@600,924,2694
1637052284,4,1000,839,21,1,final_v3@600,1112,3096,2,final_v3@600,1112,2892,3,final_v3@600,1112,2874,4,local@600,1112,3006
