g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637250768,5,850,70,17,1,final_v4@600,349,751.1246948242188,2,final_v5@600,924,1554,3,final_v6@600,924,1516,4,local@600,924,1726
1637251185,6,900,278,21,1,final_v4@600,1010,2280,2,final_v5@600,1012,2618,3,final_v6@600,1012,2708,4,local@600,1012,2422
1637251674,7,800,721,21,1,final_v4@600,911,2275,2,final_v5@600,911,2851,3,final_v6@600,911,2569,4,local@600,911,2557
1637252138,7,800,208,21,1,final_v4@600,912,1955,2,final_v5@600,461,2121.97998046875,3,final_v6@600,912,2699,4,local@600,911,2539
1637252601,9,1000,231,21,1,final_v4@600,769,1346.7359619140625,2,final_v5@600,1112,2070,3,final_v6@600,1112,1800,4,local@600,1112,1950
