g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637334024,3,1000,297,19,1,local@150,503,1250.4320068359375,2,local@150,503,1210.4320068359375,3,final_v7b@150,324,746.656005859375,4,final_v7b@150,324,794.656005859375
1637334107,4,1000,675,21,1,local@150,641,1360.303955078125,2,local@150,641,1212.303955078125,3,final_v7b@150,676,1809.343994140625,4,final_v7b@150,9999,1736
1637334221,8,1200,68,21,1,local@150,502,636.239990234375,2,local@150,9999,900,3,final_v7b@150,606,764.719970703125,4,final_v7b@150,368,412.1600036621094
