g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637149126,9,1000,840,21,1,final_v2@600,684,1487.4959716796875,2,final_v3@600,515,1079.1600341796875,3,final_v4@600,533,1343.751953125,4,local@600,9999,1679
1637149451,4,1000,311,21,1,final_v2@600,1112,2936,2,final_v3@600,1112,2548,3,final_v4@600,1112,2386,4,local@600,1112,2474
1637149979,2,900,647,9,1,final_v2@600,922,1858,2,final_v3@600,333,859.280029296875,3,final_v4@600,922,2074,4,local@600,452,1134.3199462890625
1637150380,8,1200,172,21,1,final_v2@600,263,379.55999755859375,2,final_v3@600,311,493.32000732421875,3,final_v4@600,9999,1086,4,local@600,263,445.55999755859375
1637150534,5,850,539,17,1,final_v2@600,924,2583,2,final_v3@600,924,2505,3,final_v4@600,924,2505,4,local@600,924,2623
1637150964,4,1000,839,21,1,final_v2@600,1112,2425,2,final_v3@600,1112,2269,3,final_v4@600,830,1814.52001953125,4,local@600,1112,2151
