g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637161490,7,800,829,21,1,final_v2@600,583,1514.93994140625,2,final_v3@600,695,2153.10009765625,3,final_v4@600,912,2684,4,local@600,912,2526
1637161959,7,800,919,21,1,final_v2@600,9999,2774,2,final_v3@600,911,2782,3,final_v4@600,294,1344.9200439453125,4,local@600,294,1296.9200439453125
1637162425,5,850,457,17,1,final_v2@600,923,1690,2,final_v3@600,924,1660,3,final_v4@600,923,1844,4,local@600,924,1682
1637162851,9,1000,105,21,1,final_v2@600,1112,1864,2,final_v3@600,1112,1784,3,final_v4@600,1112,1816,4,local@600,1112,1672
1637163344,4,1000,700,21,1,final_v2@600,1111,2794,2,final_v3@600,1112,2514,3,final_v4@600,273,961.31201171875,4,local@600,1112,2642
1637163865,6,900,841,21,1,final_v2@600,438,1550.0799560546875,2,final_v3@600,1012,2280,3,final_v4@600,1012,2296,4,local@600,1012,2468
