g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637181589,9,1000,840,21,1,final_v2@600,497,1148.5679931640625,2,final_v3@600,588,1221.6719970703125,3,final_v4@600,497,926.5679931640625,4,local@600,9999,1503
1637181880,4,1000,311,21,1,final_v2@600,1111,2084,2,final_v3@600,1112,2502,3,final_v4@600,1112,2472,4,local@600,1112,2194
1637182395,2,900,647,9,1,final_v2@600,922,2382,2,final_v3@600,921,2318,3,final_v4@600,921,2306,4,local@600,922,2458
1637182796,8,1200,172,21,1,final_v2@600,311,545.3200073242188,2,final_v3@600,311,509.32000732421875,3,final_v4@600,1311,2166,4,local@600,9999,2054
1637183364,5,850,539,17,1,final_v2@600,257,646.538818359375,2,final_v3@600,714,1637.9599609375,3,final_v4@600,714,1637.9599609375,4,local@600,9999,1963
1637183710,4,1000,839,21,1,final_v2@600,1111,2410,2,final_v3@600,675,1785.199951171875,3,final_v4@600,675,1733.199951171875,4,local@600,9999,2086
