g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637020467,8,1200,926,21,1,final_v2b@600,821,1066.52001953125,2,final_v2@600,1312,2024,3,final_v1@600,1311,2040,4,local@600,1312,2164
1637021048,9,1000,856,21,1,final_v2b@600,583,1087.9520263671875,2,final_v2@600,1112,1850,3,final_v1@600,1112,1950,4,local@600,1111,2192
1637021559,4,1000,474,21,1,final_v2b@600,1112,1993,2,final_v2@600,1111,2145,3,final_v1@600,1112,1985,4,local@600,1112,2269
1637022120,10,800,838,15,1,final_v2b@600,859,2680,2,final_v2@600,228,527.0399780273438,3,final_v1@600,859,2800,4,local@600,859,2754
1637022529,8,1200,793,21,1,final_v2b@600,1084,2324.080078125,2,final_v2@600,964,1913.6800537109375,3,final_v1@600,502,984.239990234375,4,local@600,9999,2388
