g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637255127,9,1000,840,21,1,final_v4@600,516,1118.303955078125,2,final_v5@600,1112,2116,3,final_v6@600,1112,2428,4,local@600,1112,2440
1637255630,4,1000,311,21,1,final_v4@600,1112,2135,2,final_v5@600,1111,2173,3,final_v6@600,1112,2445,4,local@600,1112,2371
1637256151,2,900,647,9,1,final_v4@600,921,2342,2,final_v5@600,922,2492,3,final_v6@600,920,2246,4,local@600,922,2280
1637256547,8,1200,172,21,1,final_v4@600,678,981.3599853515625,2,final_v5@600,1312,2344,3,final_v6@600,1312,2414,4,local@600,1312,2414
1637257109,5,850,539,17,1,final_v4@600,746,1818.3812255859375,2,final_v5@600,924,2100,3,final_v6@600,924,2148,4,local@600,924,2124
1637257521,4,1000,839,21,1,final_v4@600,739,1676.416015625,2,final_v5@600,1112,2348,3,final_v6@600,1112,2022,4,local@600,1112,2364
