g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637014129,9,1000,36,21,1,final_v2b@600,1112,2886,2,final_v2@600,1112,2892,3,final_v1@600,1112,2916,4,local@600,1112,3270
1637014649,4,1000,529,21,1,final_v2b@600,1112,3373,2,final_v2@600,1112,3361,3,final_v1@600,1112,3489,4,local@600,1112,3241
1637015220,9,1000,429,21,1,final_v2b@600,1109,2543,2,final_v2@600,1110,2573,3,final_v1@600,1110,2697,4,local@600,9999,2735
1637015753,3,1000,422,19,1,final_v2b@600,1093,2082,2,final_v2@600,1093,2178,3,final_v1@600,1093,2574,4,local@600,1093,2002
1637016267,6,900,835,21,1,final_v2b@600,1012,2388,2,final_v2@600,1011,2700,3,final_v1@600,1012,2564,4,local@600,1012,2396
