g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637014147,3,1000,973,19,1,final_v2b@600,1093,2468,2,final_v2@600,1093,2580,3,final_v1@600,1093,2496,4,local@600,1093,2452
1637014678,4,1000,429,21,1,final_v2b@600,1111,2673,2,final_v2@600,1112,2291,3,final_v1@600,1112,2473,4,local@600,1111,2223
1637015219,8,1200,574,21,1,final_v2b@600,1310,2494,2,final_v2@600,1311,2266,3,final_v1@600,1311,2424,4,local@600,1311,2560
1637015796,8,1200,79,21,1,final_v2b@600,1311,2440,2,final_v2@600,1312,2356,3,final_v1@600,1311,2394,4,local@600,1312,2278
1637016373,6,900,737,21,1,final_v2b@600,1010,2377,2,final_v2@600,9999,2917,3,final_v1@600,1011,2527,4,local@600,1010,2555
1637016840,9,1000,326,21,1,final_v2b@600,1112,1924,2,final_v2@600,1112,2062,3,final_v1@600,1111,2078,4,local@600,1112,1932
