g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636903672,7,800,517,21,1,final_v1@600,911,3296,2,semifinal@600,911,2076,3,semifinal@600,911,2088,4,semifinal@600,9999,2508
1636904181,10,800,168,15,1,final_v1@600,859,2028,2,semifinal@600,859,2010,3,semifinal@600,859,2076,4,semifinal@600,859,1986
1636904595,10,800,583,15,1,final_v1@600,857,2121,2,semifinal@600,859,1805,3,semifinal@600,859,1865,4,semifinal@600,859,1781
1636905011,3,1000,89,19,1,final_v1@600,1092,2775,2,semifinal@600,1092,2387,3,semifinal@600,1092,2387,4,semifinal@600,1092,2399
1636905560,6,900,567,21,1,final_v1@600,1011,2772,2,semifinal@600,1012,2440,3,semifinal@600,1012,2326,4,semifinal@600,1012,2506
1636906068,9,1000,926,21,1,final_v1@600,1112,2282,2,semifinal@600,1112,2272,3,semifinal@600,1112,2356,4,semifinal@600,1112,2210
