g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636923609,9,1000,36,21,1,final_v2@600,1112,2730,2,final_v2@600,1112,2768,3,final_v1@600,1112,2846,4,final_v1@600,1112,2792
1636924106,4,1000,529,21,1,final_v2@600,1112,2658,2,final_v2@600,1112,2664,3,final_v1@600,1112,2856,4,final_v1@600,1112,2922
1636924656,9,1000,429,21,1,final_v2@600,1112,2841,2,final_v2@600,1112,2823,3,final_v1@600,1112,2847,4,final_v1@600,1112,2829
1636925174,3,1000,422,19,1,final_v2@600,1093,3052,2,final_v2@600,1093,3052,3,final_v1@600,1093,3148,4,final_v1@600,1093,3384
1636925722,6,900,835,21,1,final_v2@600,1012,2644,2,final_v2@600,1012,2972,3,final_v1@600,1012,2896,4,final_v1@600,1012,2696
