g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637166280,1,600,810,11,1,final_v2@600,633,1232,2,final_v3@600,633,1328,3,final_v4@600,633,1374,4,local@600,633,994
1637166561,9,1000,609,21,1,final_v2@600,682,1026.2080078125,2,final_v3@600,1112,1834,3,final_v4@600,1112,1878,4,local@600,1112,1616
1637167052,2,900,52,9,1,final_v2@600,922,2249,2,final_v3@600,922,2345,3,final_v4@600,922,2265,4,local@600,922,2285
1637167455,9,1000,94,21,1,final_v2@600,1112,2072,2,final_v3@600,1112,2074,3,final_v4@600,1112,2078,4,local@600,1112,2176
1637167944,2,900,393,9,1,final_v2@600,922,2046,2,final_v3@600,768,2050.8798828125,3,final_v4@600,768,2002.8800048828125,4,local@600,922,2402
1637168353,5,850,969,17,1,final_v2@600,923,1932,2,final_v3@600,924,1874,3,final_v4@600,924,1996,4,local@600,924,1798
