g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637107106,4,1000,326,21,1,final_v2@600,1109,2359,2,final_v3@600,1112,2223,3,final_v4@600,1112,2937,4,local@600,1112,2573
1637107650,10,800,427,15,1,final_v2@600,858,1600,2,final_v3@600,859,1678,3,final_v4@600,859,1674,4,local@600,858,1868
1637108045,5,850,116,17,1,final_v2@600,924,1656,2,final_v3@600,317,821.7035522460938,3,final_v4@600,924,1224,4,local@600,222,469.6094055175781
1637108461,10,800,142,15,1,final_v2@600,859,2375,2,final_v3@600,859,2355,3,final_v4@600,859,2379,4,local@600,859,2647
1637108871,8,1200,886,21,1,final_v2@600,1312,2097,2,final_v3@600,1312,2553,3,final_v4@600,1312,2301,4,local@600,1312,2433
