g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636919247,9,1000,840,21,1,final_v2@600,1110,2280,2,final_v1@600,1110,2270,3,semifinal@600,1112,1338,4,semifinal@600,1112,1304
1636919767,4,1000,311,21,1,final_v2@600,1112,3012,2,final_v1@600,1112,3196,3,semifinal@600,273,861.31201171875,4,semifinal@600,273,801.31201171875
1636920330,2,900,647,9,1,final_v2@600,9999,1878,2,final_v1@600,921,1938,3,semifinal@600,920,1824,4,semifinal@600,920,1824
1636920760,8,1200,172,21,1,final_v2@600,1307,2154,2,final_v1@600,1310,2502,3,semifinal@600,1312,1488,4,semifinal@600,1312,1500
1636921350,5,850,539,17,1,final_v2@600,923,1938,2,final_v1@600,9999,1878,3,semifinal@600,923,1368,4,semifinal@600,923,1344
1636921779,4,1000,839,21,1,final_v2@600,1111,2580,2,final_v1@600,1108,2580,3,semifinal@600,1112,1962,4,semifinal@600,1112,1902
