g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636899966,7,800,8,21,1,final_v1@300,479,2478.219970703125,2,semifinal@300,910,2612,3,semifinal@300,910,2846,4,semifinal@300,9999,2322
1636900223,8,1200,923,21,1,final_v1@300,1311,2519,2,semifinal@300,1312,2297,3,semifinal@300,1312,2323,4,semifinal@300,1312,2377
1636900525,7,800,418,21,1,final_v1@300,9999,3490,2,semifinal@300,911,2366,3,semifinal@300,911,2376,4,semifinal@300,911,2328
1636900804,3,1000,512,19,1,final_v1@300,1092,2761,2,semifinal@300,1092,2151,3,semifinal@300,1092,2229,4,semifinal@300,1092,2291
1636901093,7,800,655,21,1,final_v1@300,9999,2985,2,semifinal@300,911,2477,3,semifinal@300,911,2189,4,semifinal@300,911,2129
1636901347,2,900,36,9,1,final_v1@300,9999,2534,2,semifinal@300,920,2410,3,semifinal@300,920,2388,4,semifinal@300,920,2388
