g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637049850,7,800,829,21,1,final_v3@600,912,2506,2,final_v3@600,912,3486,3,final_v3@600,912,2522,4,local@600,912,2486
1637050336,7,800,919,21,1,final_v3@600,911,2262,2,final_v3@600,911,2790,3,final_v3@600,911,2790,4,local@600,9999,2990
1637050851,5,850,457,17,1,final_v3@600,924,2668,2,final_v3@600,924,2656,3,final_v3@600,924,2728,4,local@600,924,2712
1637051277,9,1000,105,21,1,final_v3@600,1112,2729,2,final_v3@600,1112,2729,3,final_v3@600,1112,2753,4,local@600,1112,2781
1637051812,4,1000,700,21,1,final_v3@600,1112,3103,2,final_v3@600,1112,3055,3,final_v3@600,1112,3043,4,local@600,1112,2991
1637052411,6,900,841,21,1,final_v3@600,1012,3323,2,final_v3@600,1012,3371,3,final_v3@600,1012,3075,4,local@600,1012,3243
