g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637161491,5,850,70,17,1,final_v2@600,922,1893,2,final_v3@600,922,1855,3,final_v4@600,923,1591,4,local@600,923,1509
1637161909,6,900,278,21,1,final_v2@600,1012,3154,2,final_v3@600,1012,2770,3,final_v4@600,135,351.6000061035156,4,local@600,1012,3074
1637162426,7,800,721,21,1,final_v2@600,911,2355,2,final_v3@600,912,2595,3,final_v4@600,912,2303,4,local@600,912,2471
1637162885,7,800,208,21,1,final_v2@600,910,2577,2,final_v3@600,912,2733,3,final_v4@600,911,2467,4,local@600,912,2495
1637163339,9,1000,231,21,1,final_v2@600,1112,2216,2,final_v3@600,1112,2318,3,final_v4@600,1112,2370,4,local@600,1112,2024
