g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1636951668,10,800,841,15,1,final_v2@600,859,2622,2,final_v1@600,859,2594,3,final_v1@600,859,2738,4,final_v1@600,859,2606
1636952072,10,800,768,15,1,final_v2@600,859,2702,2,final_v1@600,859,2640,3,final_v1@600,859,2666,4,final_v1@600,859,2652
1636952473,8,1200,154,21,1,final_v2@600,1312,3194,2,final_v1@600,1312,3250,3,final_v1@600,1312,3238,4,final_v1@600,1312,3270
1636953064,6,900,260,21,1,final_v2@600,1012,2659,2,final_v1@600,1012,2635,3,final_v1@600,1012,2857,4,final_v1@600,1012,3033
1636953596,1,600,536,11,1,final_v2@600,633,2060,2,final_v1@600,633,2096,3,final_v1@600,633,2108,4,final_v1@600,633,2016
