g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637329187,3,1000,8,19,1,local@150,9999,1024,2,local@150,211,954.3839721679688,3,final_v7b@150,211,652.3839721679688,4,final_v7b@150,211,688.3839721679688
1637329223,7,800,923,21,1,local@150,911,2924,2,local@150,9999,2306,3,final_v7b@150,176,715.6799926757812,4,final_v7b@150,328,1225.0400390625
1637329356,2,900,418,9,1,local@150,485,1091.5999755859375,2,local@150,485,1091.5999755859375,3,final_v7b@150,398,795.6799926757812,4,final_v7b@150,398,795.6799926757812
