g_id,g_level,g_maxTick,g_seed,g_size,p1_id,p1_version,p1_lastTick,p1_score,p2_id,p2_version,p2_lastTick,p2_score,p3_id,p3_version,p3_lastTick,p3_score,p4_id,p4_version,p4_lastTick,p4_score
1637330492,2,900,260,9,1,local@150,210,459.6000061035156,2,local@150,9999,850,3,final_v7b@150,225,412,4,final_v7b@150,225,412
1637330532,9,1000,536,21,1,local@150,899,1581.4560546875,2,local@150,899,1541.4560546875,3,final_v7b@150,9999,1782,4,final_v7b@150,948,1750.511962890625
1637330689,5,850,464,17,1,local@150,502,691.044677734375,2,local@150,9999,1250,3,final_v7b@150,540,1009.4823608398438,4,final_v7b@150,540,961.4823608398438
